TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI
String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
TID_ALCHEMIST_CONFIRM_ASSIGN_JOB,Do you want to assign the Alchemist to the <building>?,هل تريد تكليف الخيميائية بالعمل على <building>؟,确定要指派炼金术士到<building>项目吗？,確定要指派鍊金術士到<building>項目嗎？,Möchtest du die Alchemistin Folgendem zuweisen: <building>?,¿Quieres asignar a la alquimista a la mejora de tu <building>?,می‌خواهید <building> را به کیمیاگر محول کنید؟,Haluatko valita alkemistin päivittämään kohdetta <building>?,Voulez-vous assigner l'alchimiste à votre <building> ?,Ingin mempekerjakan Alkimiawati di <building>?,Vuoi assegnare l'alchimista al miglioramento di \q<building>\q?,錬金術師を<building>に派遣しますか？,연금술사를 <building> 업그레이드에 배정할까요?,Ingin menugaskan Pembantu ke <building>?,Wil je de alchemiste toewijzen aan het volgende: <building>?,Vil du at alkymisten skal jobbe med <building>?,Quer atribuir a Alquimista à melhoria de <building>?,Назначить алхимика на проект «<building>»?,ท่านต้องการมอบหมายงานให้นักแปรธาตุไปยัง<building>หรือไม่?,Simyacıyı <building> yükseltmesine atamak istiyor musun?,Bạn có muốn giao <building> cho Nhà giả kim không?
TID_ATTACK_WARNING_SWAP_HERO_RECOVER_TEXT,"A Hero in your Army is recovering and can't fight, but a different Hero is available. Do you want to swap Heroes?",لديك في جيشك بطل ما زال يتعافى ولا يمكنه القتال. لكن يتوفر بطل آخر. أتريد تبديل البطلين؟,您军队中有一位英雄正在恢复，无法参战，但可使用另外一位英雄。您想要替换英雄吗？,軍隊中有一位英雄正在恢復，無法參戰，但可使用另外一位英雄。你想要替換英雄嗎？,"Ein Held in deiner Armee regeneriert sich und kann nicht kämpfen, aber ein anderer Held ist verfügbar. Willst du deine Helden auswechseln?","Uno de los héroes de tu ejército se está recuperando y no puede luchar, pero hay otro héroe disponible. ¿Quieres sustituirlos?",قهرمانی در ارتش شما در حال بهبودی است و نمی‌تواند مبارزه کند، اما قهرمان دیگری در دسترس است. می‌خواهید قهرمان‌ها را با هم عوض کنید؟,"Armeijaasi valittu sankari lepää eikä voi osallistua taisteluun, mutta toinen sankari on saatavilla. Haluatko vaihtaa sankaria?","Un héros dans votre armée est en récupération et ne peut pas se battre, mais un autre héros peut le remplacer. Voulez-vous changer de héros ?","Seorang Pahlawan di Tentara tidak dapat bertempur karena sedang memulihkan diri, tetapi ada Pahlawan lain yang tersedia. Ingin menukar Pahlawan?","Un eroe dell'esercito sta recuperando le forze e non può combattere, ma ce n'è un altro disponibile. Vuoi scambiare gli eroi?",部隊内のヒーローは回復中のため、戦闘に参加できません。ヒーローを変更しますか？,군대에 속한 영웅이 회복 중이라 공격에 사용할 수 없습니다. 하지만 사용할 수 있는 다른 영웅이 있습니다. 영웅을 교체할까요?,"Seorang wira dalam tentera anda sedang dipulihkan dan tidak dapat bertempur, tapi ada wira lain tersedia. Adakah anda ingin tukar wira anda?","Een held in je leger is aan het herstellen en kan niet vechten, maar een andere held is wel beschikbaar. Wil je van held wisselen?","En helt i hæren din er i rekonvalesens og kan ikke kjempe, men du kan bytte til en annen helt. Vil du gjør dette byttet?","Um herói no seu exército está se recuperando e não pode lutar, mas outro herói está disponível. Quer trocar de herói?",Один из героев в вашем войске сейчас восстанавливается после битвы и не может сражаться. Хотите заменить его другим доступным героем?,ผู้กล้าในกองทัพของท่านกำลังพักรักษาตัวอยู่และไม่สามารถต่อสู้ได้ขณะนี้ แต่ยังมีผู้กล้าอื่นที่พร้อมใช้งาน ท่านต้องการเปลี่ยนผู้กล้าหรือไม่?,Ordundaki bir kahraman dinleniyor ve savaşamaz. Kullanabileceğin başka bir kahraman var. Kahramanı değiştirmek ister misin?,"Một vị Tướng trong Đội quân của bạn đang phục hồi và không thể chiến đấu, nhưng có một vị Tướng khác đang sẵn sàng. Bạn có muốn đổi Tướng không?"
TID_ATTACK_WARNING_SWAP_HERO_UPGRADE_TEXT,"A Hero in your Army is being upgraded and can't fight, but a different Hero is available. Do you want to swap Heroes?",لديك في جيشك بطل ما زال قيد الترقية ولا يمكنه القتال. لكن يتوفر بطل آخر. أتريد تبديل البطلين؟,您军队中有一位英雄正在升级，无法参战，但可使用另外一位英雄。您想要替换英雄吗？,軍隊中有一位英雄正在升級，無法參戰，但可使用另外一位英雄。你想要替換英雄嗎？,"Ein Held in deiner Armee wird verbessert und kann nicht kämpfen, aber ein anderer Held ist verfügbar. Willst du deine Helden auswechseln?","Uno de los héroes de tu ejército está subiendo de nivel y no puede luchar, pero hay otro héroe disponible. ¿Quieres sustituirlos?",قهرمانی در ارتش شما در حال ارتقا است و نمی‌تواند مبارزه کند، اما قهرمان دیگری در دسترس است. می‌خواهید قهرمان‌ها را با هم عوض کنید؟,"Armeijaasi valittu sankari on päivitettävänä eikä voi osallistua taisteluun, mutta toinen sankari on saatavilla. Haluatko vaihtaa sankaria?","Un héros dans votre armée est en cours d'amélioration et ne peut pas se battre, mais un autre héros peut le remplacer. Voulez-vous changer de héros ?","Seorang Pahlawan di Tentara tidak dapat bertempur karena sedang ditingkatkan, tetapi ada Pahlawan lain yang tersedia. Ingin menukar Pahlawan?","Un eroe dell'esercito è in miglioramento e non può combattere, ma ce n'è un altro disponibile. Vuoi scambiare gli eroi?",部隊内のヒーローはアップグレード中のため、戦闘に参加できません。ヒーローを変更しますか？,군대에 속한 영웅이 업그레이드 중이라 공격에 사용할 수 없습니다. 하지만 사용할 수 있는 다른 영웅이 있습니다. 영웅을 교체할까요?,"Seorang wira dalam tentera anda sedang ditingkatkan dan tidak dapat bertempur, tapi ada wira lain tersedia. Adakah anda ingin tukar wira anda?","Een held in je leger wordt momenteel geüpgraded en kan niet vechten, maar een andere held is wel beschikbaar. Wil je van held wisselen?","En helt i hæren din blir oppgradert og kan ikke kjempe, men du kan bytte til en annen helt. Vil du gjør dette byttet?","Um herói no seu exército está sendo melhorado e não pode lutar, mas outro herói está disponível. Quer trocar de herói?",Один из героев в вашем войске находится в процессе улучшения и не может сражаться. Хотите заменить его другим доступным героем?,ผู้กล้าในกองทัพของท่านกำลังอัปเกรดอยู่และไม่สามารถต่อสู้ได้ขณะนี้ แต่ยังมีผู้กล้าอื่นที่พร้อมใช้งาน ท่านต้องการเปลี่ยนผู้กล้าหรือไม่?,Ordundaki bir kahraman yükseltiliyor ve savaşamaz. Kullanabileceğin başka bir kahraman var. Kahramanı değiştirmek ister misin?,"Một vị Tướng trong Đội quân của bạn đang được nâng cấp và không thể chiến đấu, nhưng có một vị Tướng khác đang sẵn sàng. Bạn có muốn đổi Tướng không?"
TID_BUILDING_GATLING_GUN_INFO,"The Firespitter spews flames at a fire rate faster than the X-Bow! If it misses, the Firespitter will shoot past its target to deal damage to enemies behind. It can only face a single direction, so place carefully!",تطلق قاذفة اللهب ألسنة اللهب بمعدل سريع يفوق القوس. إذا أخطأت هدفها، فسوف تطلق أبعد من هدفها لتلحق الضرر بالأعداء خلفه. يمكنها مواجهة اتجاه واحد فقط؛ لذا فضعها بعناية!,火焰喷射器喷射火焰的速度比十字连弩的攻速还要快！即使打歪了，火焰喷射器的攻击也会越过目标，对后方的敌人造成伤害。它只能朝向一个方向，所以要仔细考虑如何放置它！,火焰噴射器噴射火焰彈的速度比X連弩的攻速還要快！即使打歪了，火焰噴射器的攻擊也會越過目標，對後方的敵人造成傷害。它的方向固定，所以要仔細考慮如何放置它！,"Der Feuerspeier schießt Flammen und verfügt über eine höhere Feuergeschwindigkeit als der X-Bogen! Falls er sein Ziel verfehlt, kann der Feuerspeier Gegner dahinter treffen. Er kann nur in eine Richtung feuern, also gib bei der Platzierung acht!","La escupellamas dispara proyectiles incendiarios con una cadencia superior a la de la ballesta. Si no da en el blanco, dispara tras su objetivo para infligir daño a los enemigos que estén detrás. ¡Elige bien dónde colocarla porque solo puede disparar en una dirección!",آتش‌انداز با سرعتی بیشتر از کمان ایکس شعله‌ها را پرتاب می‌کند! اگر آتش‌انداز هدف را از دست بدهد، به فراتر از هدف شلیک می‌کند تا به دشمنان پشت آن آسیب برساند. فقط در یک جهت می‌تواند هدف بگیرد، پس آن را با دقت قرار دهید!,"Tulensylkijä sylkee tulta jopa varsijoustakin nopeammin! Jos lieskat eivät osu kohteeseensa, tulensylkijä ampuu kohteensa takana olevia vihollisia. Se osoittaa vain yhteen suuntaan, joten sijoita se huolellisesti!","Le cracheur de feu crache des flammes encore plus rapidement que l'arc-X ! S'il manque sa cible, les flammes du cracheur de feu touchent les troupes qui se trouvent derrière. Il ne peut viser que dans une seule direction, alors positionnez-le de manière stratégique !","Pelontar Api melontarkan bara dengan kecepatan yang lebih tinggi daripada Busur X! Tembakannya akan melesat melampaui target dan memberi kerusakan pada lawan di belakang target. Perhatian: Hanya bisa menembak ke satu arah, jadi tempatkan dengan cermat!","Lo sputafuoco spara fiamme a un ritmo più veloce dell'arco-X e, se manca il bersaglio, finirà per colpire gli obiettivi nemici direttamente dietro a quello che ha mancato. Scegli bene dove posizionarlo, perché può sparare in una sola direzione.",火の用心！竜炎砲は、燃え盛る砲弾を巨大クロスボウにも勝る発射レートで放つ固定砲台です。回避されても後方の敵にダメージを与えてくれます。攻撃方向は固定されるため、よく考えて設置しましょう。,화염 방사포는 대형 석궁보다 빠른 속도로 화염을 뿜어냅니다! 화염 방사포는 목표물을 넘어 뒤에 있는 적까지 피해를 입힙니다. 한 방향으로만 공격할 수 있으니 신중하게 배치하세요!,"Penyembur Api menghembuskan api pada kadar kelajuan yang lebih tinggi daripada Busur-X! Jika tersasar, Penyembur Api akan tembak melepasi sasaran untuk merosakkan musuh di belakang. Ia hanya boleh menghadap satu hala, jadi fikir baik-baik sebelum menempatkannya!","De vuurspuwer spuwt vlammen met een hogere vuursnelheid dan die van de X-boog! Als hij mist, spuwt de vuurspuwer voorbij zijn doelwit om de vijanden erachter te raken. Hij kan maar in één richting spuwen, dus plaats hem zorgvuldig.","Ildspytteren spytter flammer med en skuddtakt som er høyere enn X-buens! Hvis den bommer, skyter den forbi målet for å skade fiender bak. Den kan bare vende i én retning, så tenk deg godt om før du utplasserer den!","O Cospe-fogo dispara chamas a uma cadência mais rápida do que a da X-Besta! Se errar, o disparo do Cospe-fogo passará pelo alvo para causar dano aos inimigos atrás. Ele só pode mirar em uma única direção, então posicione-o com cuidado!","Огнепушка стреляет очередью из горящих снарядов еще быстрее арбалета! Иногда она специально промахивается мимо цели, чтобы попасть в противников позади. Огнепушка может быть направлена только в одну сторону, так что хорошо подумайте, где ее поставить.",เครื่องพ่นไฟจะพ่นเปลวเพลิงในอัตราการยิงที่เร็วยิ่งกว่าคันศรเอ็กซ์! หากพลาดเป้า เครื่องพ่นไฟจะยิงผ่านเป้าหมายเพื่อสร้างความเสียหายให้กับศัตรูที่อยู่ด้านหลัง แต่จะสามารถหันได้เพียงทิศทางเดียวเท่านั้น ฉะนั้นเลือกตำแหน่งวางให้ดีล่ะ!,"Ateşatar, X Yayından bile seri bir şekilde alev atar! Ateşatar hedefi vuramazsa hedefin arkasındaki düşmanlara hasar verir. Sadece tek bir yönde kullanılabileceğinden konumunu dikkatli seçmelisin!","Súng phun lửa bắn ra lửa với tốc độ bắn nhanh hơn cả Tháp cung! Bắn trượt mục tiêu ư, không vấn đề gì, Súng phun lửa sẽ bắn xuyên qua mục tiêu và gây sát thương cho kẻ địch phía sau. Khẩu súng này chỉ có thể hướng về một phía, vì vậy hãy chú ý khi bố trí nhé!"
